                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.671,                0.97351,                 1.0024,                0.56269,                0.47302,                0.49229,                0.16247,                 2.2727,                 1.3038,                 1.3193,             0.00059163,             0.00059163,             0.00059163
                     35,                 1.7178,                0.97567,                 1.0241,                0.49551,                0.47482,                0.44943,                 0.1453,                 2.3104,                 1.3684,                 1.3391,             0.00057925,             0.00057925,             0.00057925
                     36,                 1.6487,                0.97732,                 1.0065,                0.50316,                 0.4426,                0.43145,                0.13344,                 2.3575,                 1.4417,                 1.3453,             0.00056687,             0.00056687,             0.00056687
                     37,                 1.6635,                0.99857,                 1.0289,                0.51103,                0.43885,                0.43356,                0.13716,                 2.3612,                 1.4125,                 1.3372,              0.0005545,              0.0005545,              0.0005545
                     38,                 1.7075,                0.97643,                 1.0125,                0.53525,                0.45144,                0.45404,                 0.1476,                 2.3284,                 1.3537,                 1.3116,             0.00054212,             0.00054212,             0.00054212
                     39,                 1.6697,                0.99255,                 1.0466,                0.55683,                0.45144,                 0.4758,                0.16175,                 2.2994,                 1.3152,                 1.2978,             0.00052975,             0.00052975,             0.00052975
                     40,                 1.6749,                 1.0109,                 1.0143,                0.58397,                0.51079,                0.52745,                0.18385,                 2.2726,                 1.2727,                 1.2985,             0.00051737,             0.00051737,             0.00051737
                     41,                 1.6864,                0.95942,                  1.026,                0.52655,                0.51207,                0.50438,                0.17215,                 2.3278,                 1.3001,                 1.3273,               0.000505,               0.000505,               0.000505
                     42,                 1.6355,                0.94571,                 1.0058,                0.55882,                0.46403,                0.49071,                0.15728,                 2.3922,                 1.3426,                  1.357,             0.00049263,             0.00049263,             0.00049263
                     43,                 1.6417,                0.95387,                 1.0273,                 0.5156,                0.46942,                0.46383,                0.14714,                 2.4018,                  1.349,                 1.3605,             0.00048025,             0.00048025,             0.00048025
                     44,                 1.6454,                 0.9397,                 1.0276,                0.51996,                0.48201,                0.47656,                   0.16,                 2.3243,                 1.2867,                 1.3304,             0.00046788,             0.00046788,             0.00046788
                     45,                 1.6635,                0.95835,                 1.0044,                0.55484,                0.49542,                0.51228,                0.18043,                  2.256,                 1.2575,                 1.3029,              0.0004555,              0.0004555,              0.0004555
                     46,                 1.6566,                0.94463,                 1.0231,                0.57134,                0.51259,                0.52957,                0.19522,                 2.2121,                 1.2541,                   1.28,             0.00044312,             0.00044312,             0.00044312
                     47,                 1.6123,                0.91579,                 1.0064,                0.55976,                0.49281,                0.52107,                0.18582,                 2.2372,                 1.2686,                 1.2857,             0.00043075,             0.00043075,             0.00043075
                     48,                 1.5588,                0.85865,                  1.001,                0.55218,                0.44245,                0.48013,                0.16264,                  2.353,                 1.3359,                 1.3382,             0.00041838,             0.00041838,             0.00041838
                     49,                 1.6181,                0.91155,                 1.0122,                0.49167,                0.44245,                 0.4386,                0.14228,                  2.429,                 1.3879,                 1.3642,               0.000406,               0.000406,               0.000406
                     50,                 1.6189,                0.93366,                 1.0028,                0.47241,                0.45144,                0.42976,                0.13764,                 2.4253,                 1.3892,                 1.3637,             0.00039362,             0.00039362,             0.00039362
                     51,                 1.6351,                0.92901,                0.99741,                0.51567,                0.46343,                0.46093,                0.14864,                 2.3406,                 1.3328,                 1.3251,             0.00038125,             0.00038125,             0.00038125
                     52,                 1.5678,                0.92641,                  1.005,                0.57296,                0.47539,                0.51126,                 0.1702,                 2.2487,                 1.2807,                  1.291,             0.00036888,             0.00036888,             0.00036888
                     53,                    1.6,                0.92327,                0.98557,                0.55278,                0.54856,                0.56703,                0.20257,                 2.1596,                 1.2469,                 1.2685,              0.0003565,              0.0003565,              0.0003565
                     54,                 1.5954,                0.90687,                 1.0139,                0.56556,                0.50899,                0.55105,                0.19732,                 2.2092,                 1.2814,                 1.2882,             0.00034413,             0.00034413,             0.00034413
                     55,                 1.5983,                0.90886,                 1.0236,                0.60497,                0.46403,                0.53464,                0.19129,                  2.238,                 1.3055,                 1.2999,             0.00033175,             0.00033175,             0.00033175
                     56,                 1.5641,                0.90051,                 0.9898,                0.55152,                0.47662,                0.51939,                0.18521,                 2.2656,                 1.3176,                  1.304,             0.00031938,             0.00031938,             0.00031938
                     57,                  1.588,                0.90945,                0.97876,                0.58089,                0.45504,                0.50378,                0.17859,                 2.2769,                 1.3079,                  1.305,               0.000307,               0.000307,               0.000307
                     58,                 1.5897,                0.88019,                 1.0176,                 0.5872,                0.47662,                0.52403,                0.17935,                 2.2633,                 1.2783,                 1.2974,             0.00029462,             0.00029462,             0.00029462
                     59,                 1.5993,                0.87008,                 1.0092,                0.60021,                0.47482,                0.52127,                0.17598,                 2.2568,                 1.2611,                 1.2859,             0.00028225,             0.00028225,             0.00028225
                     60,                 1.5557,                0.85929,                0.98325,                0.59385,                0.45231,                0.49782,                0.16884,                 2.2756,                 1.2662,                 1.2932,             0.00026987,             0.00026987,             0.00026987
                     61,                 1.5616,                0.87307,                0.98141,                0.58298,                0.45259,                0.49439,                0.16632,                  2.272,                 1.2758,                 1.2919,              0.0002575,              0.0002575,              0.0002575
                     62,                 1.5432,                0.86009,                0.98383,                0.57412,                0.44784,                 0.4846,                0.16417,                 2.2876,                 1.2904,                 1.2987,             0.00024513,             0.00024513,             0.00024513
                     63,                   1.55,                0.87521,                0.97477,                0.57356,                0.44604,                0.47736,                0.16112,                  2.297,                 1.3043,                 1.3046,             0.00023275,             0.00023275,             0.00023275
                     64,                 1.5403,                0.85163,                 1.0017,                0.59392,                0.46223,                0.50227,                0.16925,                 2.2813,                 1.2941,                 1.3106,             0.00022038,             0.00022038,             0.00022038
                     65,                  1.538,                0.84573,                0.98407,                0.60102,                 0.4606,                0.50387,                 0.1712,                 2.2755,                 1.2922,                 1.3135,               0.000208,               0.000208,               0.000208
                     66,                 1.5567,                0.84478,                0.98189,                0.61155,                0.47004,                0.51861,                0.18337,                 2.2205,                 1.2657,                 1.2962,             0.00019562,             0.00019562,             0.00019562
                     67,                 1.5297,                0.84124,                 1.0067,                0.61292,                0.47561,                0.51944,                 0.1808,                 2.2372,                 1.2663,                 1.3021,             0.00018325,             0.00018325,             0.00018325
                     68,                 1.5605,                0.86191,                0.98922,                0.59158,                0.46043,                0.50257,                0.17612,                  2.258,                 1.2765,                 1.3165,             0.00017087,             0.00017087,             0.00017087
                     69,                  1.503,                0.83933,                0.98087,                0.58625,                0.46223,                0.50521,                0.17312,                 2.2773,                 1.2771,                 1.3253,              0.0001585,              0.0001585,              0.0001585
